norm_relative_enemy_x,norm_relative_enemy_y,norm_player_x,norm_player_y,norm_cooldown,norm_nearest_laser_relative_x,norm_nearest_laser_relative_y,laser_above,player_input
-0.4,-0.853,0.4,0.853,0.0,1.0,1.0,0,0
-0.4,-0.853,0.4,0.853,0.0,0.195,-1.156,0,0
-0.4,-0.853,0.4,0.853,0.0,1.0,1.0,0,0
-0.4,-0.853,0.4,0.853,0.0,1.0,1.0,0,0
-0.4,-0.853,0.4,0.853,0.0,1.0,1.0,0,0
-0.4,-0.853,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.808,0.4,0.853,0.0,0.195,-1.089,0,0
-0.308,-0.795,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.781,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.768,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.755,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.741,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.728,0.4,0.853,0.0,1.0,1.0,0,0
-0.308,-0.715,0.4,0.853,0.0,0.199,-1.108,0,0
-0.308,-0.701,0.4,0.853,0.0,1.0,1.0,0,0
-0.301,-0.696,0.393,0.853,0.0,1.0,1.0,0,1
-0.295,-0.695,0.387,0.853,0.0,1.0,1.0,0,1
-0.288,-0.693,0.38,0.853,0.0,1.0,1.0,0,1
-0.281,-0.692,0.373,0.853,0.0,1.0,1.0,0,1
-0.275,-0.691,0.367,0.853,0.0,1.0,1.0,0,1
-0.268,-0.689,0.36,0.853,0.0,1.0,1.0,0,1
-0.261,-0.688,0.353,0.853,0.0,1.0,1.0,0,1
-0.255,-0.687,0.347,0.853,0.0,1.0,1.0,0,1
-0.248,-0.685,0.34,0.853,0.0,1.0,1.0,0,1
-0.241,-0.684,0.333,0.853,0.0,1.0,1.0,0,1
-0.235,-0.683,0.327,0.853,0.0,1.0,1.0,0,1
-0.228,-0.681,0.32,0.853,0.0,1.0,1.0,0,1
-0.221,-0.68,0.313,0.853,0.0,1.0,1.0,0,1
-0.215,-0.679,0.307,0.853,0.0,1.0,1.0,0,1
-0.208,-0.677,0.3,0.853,0.0,1.0,1.0,0,1
-0.201,-0.676,0.293,0.853,0.0,1.0,1.0,0,1
-0.195,-0.675,0.287,0.853,0.0,1.0,1.0,0,1
-0.188,-0.673,0.28,0.853,0.0,1.0,1.0,0,1
-0.181,-0.672,0.273,0.853,0.0,1.0,1.0,0,1
-0.175,-0.671,0.267,0.853,0.0,1.0,1.0,0,1
-0.168,-0.669,0.26,0.853,0.0,1.0,1.0,0,1
-0.161,-0.668,0.253,0.853,0.0,1.0,1.0,0,1
-0.155,-0.667,0.247,0.853,0.0,1.0,1.0,0,1
-0.148,-0.665,0.24,0.853,0.0,1.0,1.0,0,1
-0.141,-0.664,0.233,0.853,0.0,1.0,1.0,0,1
-0.135,-0.663,0.227,0.853,0.0,1.0,1.0,0,1
-0.128,-0.661,0.22,0.853,0.0,1.0,1.0,0,1
-0.121,-0.66,0.213,0.853,0.0,1.0,1.0,0,1
-0.115,-0.659,0.207,0.853,0.0,1.0,1.0,0,1
-0.108,-0.657,0.2,0.853,0.0,1.0,1.0,0,1
-0.101,-0.656,0.193,0.853,0.0,1.0,1.0,0,1
-0.095,-0.655,0.187,0.853,0.0,1.0,1.0,0,1
-0.088,-0.653,0.18,0.853,0.0,1.0,1.0,0,1
-0.081,-0.652,0.173,0.853,0.0,1.0,1.0,0,1
-0.075,-0.651,0.167,0.853,0.0,1.0,1.0,0,1
-0.068,-0.649,0.16,0.853,0.0,1.0,1.0,0,1
-0.061,-0.648,0.153,0.853,0.0,1.0,1.0,0,1
-0.055,-0.647,0.147,0.853,0.0,1.0,1.0,0,1
-0.048,-0.645,0.14,0.853,0.0,1.0,1.0,0,1
-0.041,-0.644,0.133,0.853,0.0,1.0,1.0,0,1
-0.035,-0.643,0.127,0.853,0.0,1.0,1.0,0,1
-0.028,-0.641,0.12,0.853,0.0,1.0,1.0,0,1
-0.021,-0.64,0.113,0.853,0.0,1.0,1.0,0,1
-0.015,-0.639,0.107,0.853,0.0,1.0,1.0,0,1
-0.008,-0.637,0.1,0.853,0.0,1.0,1.0,0,1
